"ID","이름","이모지","설명","이미지","연결","히든","시작","키워드","조건","채집","채집제외","채집확률","낚시","낚시목록","낚시제외","낚시확률","","","","","","","","",""
"빛이끼오솔길","빛이끼 오솔길","✨","어둑한 숲길을 빛이끼가 은은히 밝힌다. 길을 벗어나면 돌아오기 어렵다.","https://i.pinimg.com/736x/25/8a/45/258a4571edc8213a0c9ed9856b1be26c.jpg","숲어귀,옛나무터,깊은숲","","","","","Y","반딧풀,황금 반딧풀,유령손,죽음의 나팔,백양초","","","","","","","","","","","","","",""
"옛나무터","옛 나무터","🪵","오래전 벌목꾼들이 떠난 자리. 그루터기 사이로 진귀한 약초와 버섯이 자란다.","https://i.pinimg.com/webp/1200x/3c/03/af/3c03affa38a967afd42b519bddd7dfc0.webp","빛이끼오솔길,버섯골짜기","","","","","Y","반딧풀,황금 반딧풀,발광이끼,유령손,죽음의 나팔,백양초","","","","","","","","","","","","","",""
"깊은숲","깊은 숲","🌲","햇빛이 닿지 않는 숲의 안쪽. 나뭇잎 사이로 무언가가 이쪽을 보고 있다.","","빛이끼오솔길,숲의심장,이슬호수","","","","","","","","","","","","","","","","","","","",""
"숲의심장","숲의 심장","💚","거목들이 둥글게 둘러선 숲의 가장 깊은 곳. 공기마저 푸르게 빛난다.","","깊은숲,요정의샘","","","","","","","","","","","","","","","","","","","",""
"요정의샘","요정의 샘","⛲","가시덤불이 샘을 휘감고 있다. 덤불 너머에서 희미한 빛이 새어 나온다.","","숲의심장,요정의고리","Y","","이슬의 노래","판정:감지:10","","","","","","","","","","","","","","","",""
"사막어귀","바르칸 사막 어귀","🏜️","모래언덕이 시작되는 곳. 한낮의 태양이 사정없이 내리쬔다.","","초원,대상야영지","","","","","","","","","","","","","","","","","","","",""
"대상야영지","대상 야영지","⛺","사막을 오가는 카라반들의 쉼터. 모닥불 곁에서 온갖 소문이 오간다.","","사막어귀,소금평원,바람협곡","","","","","","","","","","","","","","","","","","","",""
"소금평원","소금 평원","🧂","하얗게 빛나는 소금의 대지. 귀한 소금 결정과 수정이 발견된다.","","대상야영지","","","","","Y","반딧풀,황금 반딧풀,발광이끼,유령손,죽음의 나팔,백양초","","","","","","","","","","","","","",""
"바람협곡","바람의 협곡","🌬️","바람이 깎아낸 좁은 협곡. 벽에 새겨진 문양이 고대의 것임을 말해준다.","","대상야영지,모래폭풍지대,신기루오아시스","","","","","Y","반딧풀,황금 반딧풀,발광이끼,유령손,죽음의 나팔,백양초","","","","","","","","","","","","","",""
"모래폭풍지대","모래폭풍 지대","🌪️","한 치 앞도 보이지 않는 모래폭풍. 길을 잘못 들면 모래가 모든 걸 삼킨다.","","바람협곡,묻힌유적,유리모래언덕","","","","","","","","","","","","","","","","","","","",""
"신기루오아시스","신기루 오아시스","🏝️","있을 리 없는 곳에 있는 물과 야자수. 수면 아래로 물고기 그림자가 어른거린다.","","바람협곡","Y","","물의 환영","판정:감지:9","","","","Y","","녹쏘가리,유황어,고드름 잉어,안개정어리,호수의 주인","","","","","","","","","",""
"묻힌유적","모래에 묻힌 유적","🏛️","모래 아래 잠든 거대한 석조 유적. 안쪽은 이상하리만치 고요하다.","","모래폭풍지대","Y","","침묵의 모래","아이템:고대의 나침반","","","","","","","","","","","","","","","",""
"산기슭","크라그 산기슭","⛰️","산맥의 발치. 돌 틈에서 반짝이는 광석 조각을 주울 수 있다.","","초원,바람굴고개,온천굴","","","","","","","","","","","","","","","","","","","",""
"바람굴고개","바람굴 고개","🌫️","바람이 울부짖는 고갯길. 한 걸음마다 숨이 차오른다.","","산기슭,수정갱도,운무능선,약초벼랑","","","","","","","","","","","","","","","","","","","",""
"수정갱도","수정 갱도","💎","버려진 갱도 벽면에 수정이 박혀 있다. 안쪽 갱도는 무너져 막혀 있다…고 한다.","","바람굴고개,무너진갱도길","","","","","","","","","","","","","","","","","","","",""
"운무능선","운무 능선","☁️","구름이 발아래로 흐르는 능선길. 발을 헛디디면 구름 속으로.","","바람굴고개,설선능선,산정호수","","","","","","","","","","","","","","","","","","","",""
"설선능선","설선 능선","🏔️","눈이 녹지 않는 높이. 거대한 날개 그림자가 이따금 능선을 스친다.","","운무능선,산맥정상","","","","","","","","","","","","","","","","","","","",""
"산맥정상","크라그 정상","🦅","세상이 작아지는 곳. 거대한 둥지가 정상을 차지하고 있다.","","설선능선","Y","","바람의 끝","판정:근력:10","","","","","","","","","","","","","","","",""
"무너진갱도길","무너진 갱도길","🕯️","무너진 줄 알았던 갱도 안쪽 — 좁은 틈이 어둠 속 깊은 곳으로 이어진다.","","수정갱도,어둠의회랑","Y","","무너진 길","판정:재주:9","","","","","","","","","","","","","","","",""
"동굴입구","델보 동굴 입구","🕳️","땅 아래로 입을 벌린 거대한 동굴. 안쪽에서 서늘한 바람이 불어온다.","","초원,반딧불회랑","","","","","","","","","","","","","","","","","","","",""
"반딧불회랑","반딧불 회랑","🌠","천장의 발광 곤충들이 별하늘처럼 빛난다. 아름답지만, 너무 조용하다.","","동굴입구,지하호수,이끼동굴","","","","","","","","","","","","","","","","","","","",""
"지하호수","지하 호수","🎣","빛 한 점 없는 검은 수면. 낚싯대를 드리우면 묵직한 것이 문다.","","반딧불회랑,어둠의회랑","","","","","","","","Y","","녹쏘가리,유황어,고드름 잉어,안개정어리,호수의 주인","","","","","","","","","",""
"어둠의회랑","어둠의 회랑","🌑","빛이 스며들지 않는 땅 아래. 잠들지 않는 생명들이 깨어난다.","","지하호수,잠들지않는둥지,무너진갱도길,검은여울","","","","","","","","","","","","","","","","","","","",""
"잠들지않는둥지","잠들지 않는 둥지","👁️","어둠이 살아 숨 쉬는 곳. 이곳의 어둠은… 이쪽을 바라보고 있다.","","어둠의회랑","Y","","잠들지 않는 것","판정:정신:10","","","","","","","","","","","","","","","",""
"햇살들녘","햇살 들녘","🌻","온종일 볕이 드는 너른 들판. 양지바른 곳에서만 자라는 약초가 숨어 있다.","","초원,잔잔한개울","","","","","Y","반딧풀,황금 반딧풀,발광이끼,유령손,죽음의 나팔","","","","","","","","","","","","","",""
"잔잔한개울","잔잔한 개울","🐟","초원을 가로지르는 얕은 개울. 낚시를 처음 배우기 좋은 곳이다.","","초원,햇살들녘","","","","","","","","Y","","녹쏘가리,유황어,고드름 잉어,안개정어리,호수의 주인","","","","","","","","","",""
"버섯골짜기","버섯 골짜기","🍂","축축한 골짜기에 온갖 버섯이 피어난다. 밤이면 반짝이는 풀이 보인다는 소문이 있다.","","옛나무터","","","","","Y","발광이끼,유령손,죽음의 나팔,백양초","","","","","","","","","","","","","",""
"이슬호수","이슬 호수","💧","거목 사이에 숨은 맑은 호수. 초록빛 그림자가 수면 아래를 스친다.","","깊은숲","","","","","","","","Y","","유황어,고드름 잉어,안개정어리","","","","","","","","","",""
"유리모래언덕","유리모래 언덕","🏖️","번개가 빚은 유리 조각이 모래에 섞여 반짝인다. 발밑을 조심할 것.","","모래폭풍지대","","","","","Y","반딧풀,황금 반딧풀,발광이끼,유령손,죽음의 나팔,백양초","","","","","","","","","","","","","",""
"산정호수","산정 호수","🗻","구름보다 높은 곳의 차가운 호수. 수면에 살얼음이 떠다닌다.","","운무능선","","","","","","","","Y","","녹쏘가리,유황어,안개정어리,호수의 주인","","","","","","","","","",""
"온천굴","온천굴","♨️","산기슭에 김이 오르는 작은 동굴 온천. 뜨거운 물에도 사는 물고기가 있다던데.","","산기슭","","","","","","","","Y","유황어,쓰레기,헐어버린 장화,붉은 파편,푸른 파편,미꾸라지","","","","","","","","","","",""
"약초벼랑","약초 벼랑","🌾","벼랑 틈에 뿌리내린 약초들. 손을 뻗으려면 담력이 필요하다.","","바람굴고개","","","","","Y","반딧풀,황금 반딧풀,발광이끼,유령손,죽음의 나팔,백양초","","","","","","","","","","","","","",""
"검은여울","검은 여울","🌊","지하수가 굽이치는 검은 여울. 깊은 곳의 것들이 이따금 올라온다.","","어둠의회랑","","","","","","","","Y","","녹쏘가리,유황어,고드름 잉어,호수의 주인","","","","","","","","","",""
"이끼동굴","이끼 동굴","🪨","발광 버섯이 군락을 이룬 동굴 방. 어둠 속에서만 자라는 것들이 있다.","","반딧불회랑","","","","","Y","반딧풀,황금 반딧풀,백양초","","","","","","","","","","","","","",""
