ID,이름,이모지,설명,이미지,연결,히든,시작,키워드,조건,채집,채집목록,채집확률,낚시,낚시목록,낚시제외,낚시확률,채광,채광목록,채광확률
빛이끼오솔길,빛이끼 오솔길,✨,어둑한 숲길을 빛이끼가 은은히 밝힌다. 길을 벗어나면 돌아오기 어렵다.,https://i.pinimg.com/736x/25/8a/45/258a4571edc8213a0c9ed9856b1be26c.jpg,"숲어귀,옛나무터,깊은숲,산딸기덤불",,,,,Y,"쐐기풀, 낙엽, 덩굴손, 쓰레기 더미, 나무껍질, 돌멩이, 이끼, 쑥, 크로커스, 봉선화, 벨라도나, 협죽도, 겨우살이, 도라지, 감초, 천리향, 발광이끼, 은방울꽃, 시프의 요깃거리, 파이프위드, 하수오, 푸른 장미, 오뎅 씨앗",,,,,,,,
옛나무터,옛 나무터,🪵,오래전 벌목꾼들이 떠난 자리. 그루터기 사이로 진귀한 약초와 버섯이 자란다.,https://i.pinimg.com/webp/1200x/3c/03/af/3c03affa38a967afd42b519bddd7dfc0.webp,"빛이끼오솔길,버섯골짜기,늙은참나무",,,,,Y,"쐐기풀, 낙엽, 덩굴손, 쓰레기 더미, 나무껍질, 돌멩이, 쑥, 크로커스, 봉선화, 벨라도나, 협죽도, 겨우살이, 도라지, 감초, 천리향, 은방울꽃, 시프의 요깃거리, 파이프위드, 하수오, 푸른 장미, 오뎅 씨앗",,,,,,,,
깊은숲,깊은 숲,🌲,햇빛이 닿지 않는 숲의 안쪽.,https://i.pinimg.com/736x/60/a6/4b/60a64b90c2f11a5a9aa2df872f03e20d.jpg,"빛이끼오솔길,숲의심장,이슬호수,안개숲,오두막",,,,,,,,,,,,,,
숲의심장,숲의 심장,💚,거목들이 둥글게 둘러선 숲의 가장 깊은 곳. 공기마저 푸르게 빛난다.,https://i.pinimg.com/736x/2b/da/13/2bda138a58d4c96289fad4f44a27a060.jpg,"깊은숲,요정의샘,사슴길",,,,,,,,,,,,,,
요정의샘,요정의 샘,⛲,가시덤불이 샘을 휘감고 있다. 덤불 너머에서 희미한 빛이 새어 나온다.,https://i.pinimg.com/736x/04/f1/da/04f1da7080da4c2d4d5014e1787c0629.jpg,숲의심장,Y,,,판정:감지:15,,"쐐기풀, 낙엽, 광대버섯, 덩굴손, 쓰레기 더미, 이끼, 나무껍질, 돌멩이, 쑥, 크로커스, 봉선화, 벨라도나, 협죽도, 사과, 겨우살이, 도라지, 산나물, 천리향, 은방울꽃, 더덕, 산딸기, 감초, 야광 고사리, 파이프위드, 산삼, 동충하초, 하수오, 바람깃털, 맨드레이크, 헤븐 베리, 마력이 깃든 나뭇가지, 스타더스트, 속삭임나무, 에버스프링",,,,,,,,
사막어귀,바르칸 사막 어귀,🏜️,모래언덕이 시작되는 곳. 한낮의 태양이 사정없이 내리쬔다.,https://i.pinimg.com/736x/a7/5b/e0/a75be0edc3c0ebc72838af883532ee82.jpg,"초원,대상야영지,모래언덕길",,,,,,,,,,,,,,
대상야영지,대상 야영지,⛺,사막을 오가는 카라반들의 쉼터. 모닥불 곁에서 온갖 소문이 오간다.,https://i.pinimg.com/1200x/9c/9a/f5/9c9af58bf10182e458c32a4241af9c3a.jpg,"사막어귀,소금평원,바람협곡,오아시스촌",,,,,,,,,,,,,,
소금평원,소금 평원,🧂,하얗게 빛나는 소금의 대지. 귀한 소금 결정과 수정이 발견된다.,,"대상야영지,소금기슭",Y,,,,Y,,,,,,,Y,,
바람협곡,바람의 협곡,🌬️,바람이 깎아낸 좁은 협곡. 벽에 새겨진 문양은 퍽 오래되어 보인다.,https://i.pinimg.com/webp/736x/c5/2f/23/c52f23ad4cbe74463364290545031635.webp,"대상야영지,모래폭풍지대,신기루오아시스",,,,,Y,"쓰레기 더미, 나무껍질, 돌멩이, 쑥, 협죽도, 겨우살이, 도라지, 시프의 요깃거리, 파이프위드, 하수오, 락 후르츠, 바람깃털, 우담바라, 알피린",,,,,,,,
모래폭풍지대,모래폭풍 지대,🌪️,한 치 앞도 보이지 않는 모래폭풍이 시야를 가득 매웠다. 무언가가 보이는 것 같은데...,https://i.pinimg.com/736x/fe/26/95/fe26959b0b4cb5298d0ecf6d7d4a46c9.jpg,"바람협곡,묻힌유적,유리모래언덕,뼈사막",,,,,,,,,,,,,,
신기루오아시스,신기루 오아시스,🏝️,있을 리 없는 곳에 있는 물과 야자수. 수면 아래로 물고기 그림자가 어른거린다.,https://i.pinimg.com/1200x/c7/e2/95/c7e29520be80a249fc278fbbfd84023b.jpg,바람협곡,Y,,물의 환영,판정:감지:15,,,,Y,"쓰레기, 헐어버린 장화, 휴지조각, 깨진 유리 조각, 나무 판자, 붉은 파편, 푸른 파편, 썩은 나뭇조각, 녹슨 철 조각, 한 입 베어문 생선, 블루길, 배스, 피루루크, 틸라피아, 카라신, 틸라피아, 엔젤피쉬, 아로와나, 슬라임 잭, 호플리아스, 파라다이스피쉬, 플라워 혼, 메갈로도라스, 테러투스, 액스테일, 앵커헤드, 킬핀, 골리앗피쉬, 파이렐투스, 루비 스타, 린멜스케일, 피치 블랙, 크라니아, 섀도스위머, 사이클로피쉬, 돌풍화살",,,,,
묻힌유적,모래에 묻힌 유적,🏛️,모래 아래 잠든 거대한 석조 유적. 안쪽은 이상하리만치 고요하다.,https://i.pinimg.com/736x/2e/ee/03/2eee03573dd276d925d3c87a6a563fbd.jpg,모래폭풍지대,Y,,침묵의 유적,아이템:고대의 나침반,,,,,,,,,,
산기슭,크라그 산기슭,⛰️,산맥의 발치. 높은 산의 꼭대기는 목이 아려올 정도로 높아 보인다.,,"초원,바람굴고개,온천굴,돌너덜길",,,,,,,,,,,,Y,,
바람굴고개,바람굴 고개,🌫️,바람이 울부짖는 고갯길. 한 걸음마다 숨이 차오른다.,,"산기슭,수정갱도,운무능선,약초벼랑,메아리계곡",,,,,,,,,,,,,,
수정갱도,수정 갱도,💎,버려진 갱도 벽면에 수정이 박혀 있다. 안쪽 갱도는 무너져 막혀 있는 것 같다.,,"바람굴고개,무너진갱도길,광부쉼터",,,,,,,,,,,,Y,,
운무능선,운무 능선,☁️,구름이 발아래로 흐르는 능선길. 발을 헛디디면 구름 속으로 빠질 것이다.,,"바람굴고개,설선능선,산정호수,독수리둥지길",,,,,,,,,,,,,,
설선능선,설선 능선,🏔️,눈이 녹지 않는 높이. 거대한 날개 그림자가 이따금 능선을 스친다.,,"운무능선,산맥정상,독수리둥지길",,,,,,,,,,,,,,
산맥정상,크라그 정상,🦅,세상이 작아지는 곳. 거대한 둥지가 정상을 차지하고 있다.,,설선능선,Y,,바람의 끝,판정:근력:15,,,,,,,,,,
무너진갱도길,무너진 갱도길,🕯️,갱도를 탐사하니 — 좁은 틈이 어둠 속 깊은 곳으로 이어진다.,,"수정갱도,어둠의회랑",Y,,갱도 탐사,판정:재주:15,,,,,,,,Y,,
동굴입구,델보 동굴 입구,🕳️,땅 아래로 입을 벌린 거대한 동굴. 안쪽에서 서늘한 바람이 불어온다.,,"초원,반딧불회랑,박쥐굴",,,,,,,,,,,,,,
반딧불회랑,반딧불 회랑,🌠,천장의 발광 곤충들이 별하늘처럼 빛난다.,,"동굴입구,지하호수,이끼동굴,결정방",,,,,,,,,,,,,,
지하호수,지하 호수,🎣,빛 한 점 없는 검은 수면. 낚싯대를 드리우면 묵직한 것이 문다.,,"반딧불회랑,어둠의회랑,메아리수로",,,,,,,,Y,"헐어버린 장화 붉은 파편, 푸른 파편, 썩은 나뭇조각, 녹슨 철 조각, 한 입 베어문 생선, 블루길, 배스, 미꾸라지, 틸라피아, 유황어, 붕어, 모래무지, 카라신, 가물치, 등목어, 첨예어, 금박가재, 꽃잎 메기, 슬라임 잭, 안개피라미, 불꽃장어, 호플리아스, 테러투스, 액스테일, 앵커헤드, 킬핀, 골리앗피쉬, 백금어, 루비 스타, 린멜스케일, 판금집게, 피치 블랙, 비취껍질, 크라니아, 섀도스위머, 사이클로피쉬",,,,,
어둠의회랑,어둠의 회랑,🌑,빛이 스며들지 않는 땅 아래. 우웅거리는 소리가 귓가를 가득 매웠다.,,"지하호수,잠들지않는둥지,무너진갱도길,검은여울,잊힌제단",,,,,,,,,,,,,,
잠들지않는둥지,잠들지 않는 둥지,👁️,어둠이 살아 숨 쉬는 곳. 이곳의 어둠은… 이쪽을 바라보고 있다.,,어둠의회랑,Y,,잠들지 않는 것,판정:정신:15,,,,,,,,,,
햇살들녘,햇살 들녘,🌻,온종일 볕이 드는 너른 들판. 양지바른 곳에서만 자라는 약초가 숨어 있다.,,"초원,잔잔한개울,너른들판,햇골마을",,,,,Y,"쐐기풀, 낙엽, 덩굴손, 쓰레기 더미, 돌멩이, 쑥, 크로커스, 봉선화, 벨라도나, 협죽도, 도라지, 감초, 천리향, 은방울꽃, 시프의 요깃거리, 파이프위드, 하수오, 푸른 장미, 오뎅 씨앗, 백양초, 맨드레이크, 헤븐 베리",,,,,,,,
잔잔한개울,잔잔한 개울,🐟,초원을 가로지르는 얕은 개울. 낚시를 처음 배우기 좋은 곳이다.,,"초원,햇살들녘,개울나루",,,,,,,,Y,"쓰레기, 헐어버린 장화, 휴지조각, 깨진 유리 조각, 붉은 파편, 푸른 파편, 썩은 나뭇조각, 녹슨 철 조각, 한 입 베어문 생선, 블루길, 배스, 미꾸라지, 준치, 향어, 연어, 틸라피아, 붕어, 쏘가리, 모래무지, 카라신, 여울각시, 가물치, 등목어, 백련어, 틸라피아, 첨예어, 엔젤피쉬, 금박가재, 꽃잎 메기, 산천어, 슬라임 잭, 안개피라미, 백운산, 불꽃장어, 무지개고기, 파라다이스피쉬, 플라워 혼, 테러투스, 액스테일, 앵커헤드, 킬핀",,,,,
버섯골짜기,버섯 골짜기,🍂,축축한 골짜기에 온갖 버섯이 피어난다. 밤이면 반짝이는 풀이 보인다는 소문이 있다.,,"옛나무터,늙은참나무",,,,,Y,"광대버섯, 쓰레기더미, 돌멩이, 쑥, 감초, 영지버섯, 시프의 요깃거리, 파이프위드, 동충하초, 하수오, 유령손, 죽음의 나팔",,,,,,,,
이슬호수,이슬 호수,💧,거목 사이에 숨은 맑은 호수. 초록빛 그림자가 수면 아래를 스친다.,,깊은숲,,,,,,,,Y,"쓰레기, 헐어버린 장화, 휴지조각, 깨진 유리 조각, 나무 판자, 붉은 파편, 푸른 파편, 썩은 나뭇조각, 녹슨 철 조각, 한 입 베어문 생선, 블루길, 배스, 잉어, 미꾸라지, 송어, 피루루크, 준치, 향어, 연어, 틸라피아, 붕어, 쏘가리, 모래무지, 카라신, 가물치, 등목어, 백련어, 틸라피아, 첨예어, 엔젤피쉬, 금박가재, 꽃잎 메기, 아로와나, 산천어, 슬라임 잭, 안개피라미, 백운산, 불꽃장어, 호플리아스, 무지개고기, 파라다이스피쉬, 플라워 혼, 메갈로도라스, 테러투스, 액스테일, 앵커헤드, 킬핀, 백금어, 루비 스타, 비취껍질, 용어",,,,,
유리모래언덕,유리모래 언덕,🏖️,번개가 빚은 유리 조각이 모래에 섞여 반짝인다. 발밑을 조심할 것.,,"모래폭풍지대,유리절벽",,,,,Y,"쓰레기 더미, 돌멩이, 유리 결정, 협죽도, 파이프위드, 백양초, 락 후르츠, 바람깃털",,,,,,,,
산정호수,산정 호수,🗻,구름보다 높은 곳의 차가운 호수. 수면에 살얼음이 떠다닌다.,,"운무능선,얼음동굴",,,,,,,,Y,"쓰레기, 헐어버린 장화, 휴지조각, 깨진 유리 조각, 나무 판자, 붉은 파편, 푸른 파편, 썩은 나뭇조각, 녹슨 철 조각, 한 입 베어문 생선, 블루길, 배스, 잉어, 미꾸라지, 송어, 피루루크, 준치, 향어, 연어, 틸라피아, 붕어, 쏘가리, 모래무지, 카라신, 가물치, 등목어, 백련어, 틸라피아, 첨예어, 엔젤피쉬, 금박가재, 꽃잎 메기, 아로와나, 산천어, 슬라임 잭, 안개피라미, 백운산, 불꽃장어, 호플리아스, 무지개고기, 파라다이스피쉬, 플라워 혼, 메갈로도라스, 테러투스, 액스테일, 앵커헤드, 킬핀, 역천어, 백금어, 린멜스케일, 판금집게",,,,,
온천굴,온천굴,♨️,산기슭에 김이 오르는 작은 동굴 온천. 뜨거운 물에도 사는 물고기가 있다던데.,,산기슭,,,,,,,,Y,"붉은 파편, 푸른 파편, 썩은 나뭇조각, 녹슨 철 조각, 블루길, 배스, 유황어, 모래무지, 가물치, 등목어, 첨예어, 슬라임 잭, 불꽃장어, 호플리아스, 킬핀, 파이렐투스, 백금어, 크라니아, 사이클로피쉬",,,,,
약초벼랑,약초 벼랑,🌾,벼랑 틈에 뿌리내린 약초들. 손을 뻗으려면 담력이 필요하다.,,바람굴고개,,,,,Y,"쐐기풀, 광대버섯, 덩굴손, 이끼, 쑥, 크로커스, 봉선화, 협죽도, 도라지, 감초, 영지버섯, 더덕, 산삼, 동충하초, 하수오, 우담바라, 헤븐 베리, 드래곤 플라워",,,,,,,,
검은여울,검은 여울,🌊,지하수가 굽이치는 검은 여울. 깊은 곳의 것들이 이따금 올라온다.,,어둠의회랑,Y,,,,,,,Y,"쓰레기, 썩은 나뭇조각, 녹슨 철 조각, 미꾸라지, 모래무지, 가물치, 첨예어, 액스테일, 앵커헤드, 킬핀, 골리앗피쉬, 피치 블랙, 비취껍질, 크라니아, 섀도스위머, 사이클로피쉬, 미스릴스케일",,,,,
이끼동굴,이끼 동굴,🪨,발광 버섯이 군락을 이룬 동굴 방. 어둠 속에서만 자라는 것들이 있다.,,반딧불회랑,,,,,Y,"이끼, 쓰레기 더미, 영지버섯, 협죽도, 야광 고사리, 발광이끼, 시프의 요깃거리, 발광이끼, 마력을 품은 이끼, 유령손",,,,,,,,
별의 바다,별의 바다,,,,,Y,,,,,,,,,,,,,
망자의 정원,망자의 정원,,,,,Y,,,,,,,,,,,,,
핏빛 성채,핏빛 성채,,,,,Y,,,,,,,,,,,,,
종탑거리,종탑 거리,🔔,라카노아의 시간을 알리는 종탑이 선 거리. 이곳에 자신의 집을 마련할 수도 있다고 한다.,,등불광장,,,,,,,,,,,,,,
길드뒷마당,길드 뒷마당,🎯,모험가들이 몸을 푸는 훈련장. 허수아비가 칼자국 투성이다.,,모험가길드,,,,,,,,,,,,,,
상인조합,상인 조합,🏪,거래와 계약이 오가는 상인들의 본거지.,,시장골목,Y,,,,,,,,,,,,,
분수광장,분수 광장,⛲,맑은 물이 솟는 분수를 둘러싼 만남의 광장.,,"등불광장,시장골목",,,,,,,,,,,,,,
너른들판,너른 들판,🌾,끝없이 펼쳐진 풀밭. 바람이 풀결을 쓸어넘긴다.,,"초원,햇살들녘,바람개비목장,개울나루,햇골마을",,,,,Y,"쐐기풀, 낙엽, 덩굴손, 쓰레기 더미, 돌멩이, 쑥, 크로커스, 봉선화, 벨라도나, 협죽도, 도라지, 감초, 천리향, 은방울꽃, 시프의 요깃거리, 파이프위드, 하수오, 푸른 장미, 오뎅 씨앗",,,,,,,,
바람개비목장,바람개비 목장,🐑,양 떼와 바람개비가 한가로운 목장.,,"바람의언덕,너른들판",,,,,,,,,,,,,,
개울나루,개울 나루,🛶,작은 나룻배가 매여 있는 개울가 나루터.,,"잔잔한개울,너른들판,물레방아",,,,,,,,Y,"쓰레기, 헐어버린 장화, 휴지조각, 깨진 유리 조각, 나무 판자, 붉은 파편, 푸른 파편, 썩은 나뭇조각, 녹슨 철 조각, 한 입 베어문 생선, 블루길, 배스, 잉어, 미꾸라지, 송어, 피루루크, 준치, 향어, 연어, 틸라피아, 붕어, 쏘가리, 모래무지, 카라신, 여울각시, 가물치, 등목어, 백련어, 틸라피아, 첨예어, 엔젤피쉬, 금박가재, 꽃잎 메기, 아로와나, 산천어, 슬라임 잭, 안개피라미, 백운산, 무지개고기, 파라다이스피쉬, 플라워 혼, 액스테일, 앵커헤드, 킬핀, 골리앗피쉬, 백금어, 루비 스타, 판금집게, 용어",,,,,
햇골마을,햇골 마을,🏘️,초원 끝자락에 자리한 정겨운 농촌 마을.,,"너른들판,햇살들녘,물레방아,과수원",,,,,,,,,,,,,,
물레방아,물레방아,💧,개울물을 받아 도는 커다란 물레방아.,,"햇골마을,개울나루",,,,,,,,Y,"쓰레기, 헐어버린 장화, 휴지조각, 깨진 유리 조각, 나무 판자, 붉은 파편, 푸른 파편, 썩은 나뭇조각, 녹슨 철 조각, 한 입 베어문 생선, 블루길, 배스, 잉어, 미꾸라지, 송어, 피루루크, 준치, 향어, 연어, 틸라피아, 붕어, 쏘가리, 모래무지, 카라신, 여울각시, 가물치, 등목어, 백련어, 틸라피아, 첨예어, 엔젤피쉬, 금박가재, 꽃잎 메기, 아로와나, 산천어, 슬라임 잭, 안개피라미, 백운산, 무지개고기, 파라다이스피쉬, 플라워 혼, 액스테일, 앵커헤드, 킬핀, 골리앗피쉬, 백금어, 루비 스타, 판금집게, 용어",,,,,
과수원,과수원,🍎,사과와 배가 주렁주렁 열린 과수원.,,햇골마을,,,,,Y,"쓰레기 더미, 산딸기, 사과, 포도, 복숭아, 락 후르츠, 오렌지, 수박, 헤븐 베리",,,,,,,,
고사리길,고사리 길,🌿,이슬 머금은 고사리가 우거진 오솔길.,,숲어귀,,,,,Y,"쐐기풀, 낙엽, 덩굴손, 쓰레기 더미, 돌멩이, 쑥, 크로커스, 봉선화, 벨라도나, 협죽도, 도라지, 감초, 천리향, 은방울꽃, 시프의 요깃거리, 파이프위드, 하수오, 푸른 장미, 오뎅 씨앗, 백양초, 맨드레이크, 헤븐 베리",,,,,,,,
산딸기덤불,산딸기 덤불,🍓,달큰한 산딸기가 지천인 덤불.,,빛이끼오솔길,,,,,Y,"쐐기풀, 산딸기",,,,,,,,
늙은참나무,늙은 참나무,🌳,수백 년을 산 거대한 참나무가 숲을 굽어본다.,,"옛나무터,버섯골짜기",,,,,,,,,,,,,,
안개숲,안개 숲,🌫️,한 치 앞도 보기 힘든 옅은 안개가 깔린 깊은 숲.,,"깊은숲,사슴길,늪지어귀",,,,,,,,,,,,,,
사슴길,사슴 길,🦌,사슴이 다니는 좁은 길. 약초가 곳곳에 돋아 있다.,,"숲의심장,안개숲",,,,,Y,"쐐기풀, 낙엽, 광대버섯, 덩굴손, 쓰레기 더미, 이끼, 나무껍질, 돌멩이, 쑥, 크로커스, 봉선화, 벨라도나, 협죽도, 사과, 겨우살이, 도라지, 산나물, 천리향, 은방울꽃, 더덕, 산딸기, 감초, 야광 고사리, 파이프위드, 산삼, 동충하초, 하수오, 바람깃털, 맨드레이크, 헤븐 베리, 마력이 깃든 나뭇가지",,,,,,,,
늪지어귀,미르 늪 어귀,🌾,물안개가 자욱한 늪지의 초입.,,"안개숲,갈대밭,안개늪",,,,,,,,,,,,,,
갈대밭,갈대밭,🪺,키 큰 갈대가 빽빽한 습지. 물새 둥지가 숨어 있다.,,"늪지어귀,안개늪,반딧불습지",,,,,Y,"쐐기풀, 쓰레기 더미, 이끼, 돌멩이, 물억새, 쑥, 봉선화, 협죽도, 도라지, 감초, 천리향, 반딧풀, 더덕, 시프의 요깃거리, 파이프위드, 동충하초, 발광이끼, 하수오, 푸른 장미, 우담바라, 맨드레이크, 황금 반딧풀",,,,,,,,
안개늪,안개 늪,🌁,발 디딜 곳을 가늠하기 힘든 안개 낀 늪.,,"늪지어귀,갈대밭,가라앉은마을",,,,,,,,Y,"쓰레기, 헐어버린 장화, 썩은 나뭇조각, 녹슨 철 조각, 한 입 베어문 생선, 블루길, 배스, 잉어, 미꾸라지, 붕어, 피루루크, 가물치, 등목어, 첨예어, 아로와나, 안개피라미, 불꽃장어, 호플리아스, 메갈로도라스, 테러투스, 액스테일, 앵커헤드, 킬핀, 골리앗피쉬, 피치 블랙, 크라니아, 섀도스위머, 사이클로피쉬, 용어",,,,,
가라앉은마을,가라앉은 마을,🏚️,절반쯤 물에 잠긴 버려진 마을.,,"안개늪,반딧불습지",,,,,,,,,,,,,,
반딧불습지,반딧불 습지,🌟,밤이면 반딧불이 별처럼 깔리는 습지.,,"가라앉은마을,갈대밭",,,,,,,,Y,"쓰레기, 헐어버린 장화, 붉은 파편, 푸른 파편, 썩은 나뭇조각, 녹슨 철 조각, 한 입 베어문 생선, 블루길, 배스, 잉어, 틸라피아, 미꾸라지, 붕어, 가물치, 카라신, 등목어, 피루루크, 백련어, 틸라피아, 첨예어, 꽃잎 메기, 아로와나, 슬라임 잭, 안개피라미, 불꽃장어, 호플리아스, 플라워 혼, 메갈로도라스, 테러투스, 액스테일, 앵커헤드, 킬핀, 골리앗피쉬, 백금어, 루비 스타, 피치 블랙, 크라니아, 섀도스위머, 사이클로피쉬, 용어",,,,,
모래언덕길,모래언덕 길,🏜️,발이 푹푹 빠지는 모래언덕을 넘는 길.,,"사막어귀,오아시스촌,돌너덜길",,,,,,,,,,,,,,
오아시스촌,오아시스 촌,🌴,야자수 그늘 아래 샘을 낀 작은 정착지.,,"대상야영지,향신료시장,모래언덕길",,,,,,,,Y,"쓰레기, 헐어버린 장화, 휴지조각, 깨진 유리 조각, 나무 판자, 붉은 파편, 푸른 파편, 썩은 나뭇조각, 녹슨 철 조각, 한 입 베어문 생선, 블루길, 배스, 피루루크, 틸라피아, 카라신, 틸라피아, 엔젤피쉬, 아로와나, 슬라임 잭, 호플리아스, 파라다이스피쉬, 플라워 혼, 메갈로도라스, 테러투스, 액스테일, 앵커헤드, 킬핀, 골리앗피쉬, 파이렐투스, 루비 스타, 린멜스케일, 피치 블랙, 크라니아, 섀도스위머, 사이클로피쉬",,,,,
향신료시장,향신료 시장,🧂,이국의 향이 진동하는 노천 시장.,,오아시스촌,Y,,,,,,,,,,,,,
뼈사막,뼈의 사막,💀,하얗게 바랜 짐승 뼈가 나뒹구는 죽음의 사막.,,"모래폭풍지대,소금기슭,무너진성문",,,,,,,,,,,,,,
유리절벽,유리 절벽,🔆,햇빛에 유리처럼 반짝이는 규암 절벽.,,유리모래언덕,,,,,Y,"쓰레기 더미, 돌멩이, 유리 결정, 협죽도, 파이프위드, 백양초, 락 후르츠, 바람깃털",,,,,,,,
소금기슭,소금 기슭,🏖️,사막과 바다가 맞닿은 소금기 어린 모래기슭.,,"소금평원,뼈사막,어촌포구",Y,,,,,,,,,,,,,
어촌포구,어촌 포구,⚓,비린내와 뱃노래가 어우러진 작은 포구.,,"소금기슭,등대곶,조개해변",,,,,,,,Y,,,,,,
등대곶,등대 곶,🗼,바다로 길게 뻗은 곶 끝의 낡은 등대.,,"어촌포구,절벽낚시터,난파선해안",,,,,,,,,,,,,,
조개해변,조개 해변,🐚,물 빠진 갯벌에 조개와 해초가 가득하다.,,"어촌포구,난파선해안",,,,,Y,,,,,,,,,
절벽낚시터,절벽 낚시터,🎣,파도가 부서지는 벼랑 위 명품 낚시 자리.,,등대곶,,,,,,,,Y,,,,,,
난파선해안,난파선 해안,🚢,부서진 배들이 모래에 박혀 있는 음산한 해안.,,"등대곶,조개해변",,,,,,,,,,,,,,
무너진성문,무너진 성문,🏚️,한때 거대했을 성의 무너진 정문.,,"뼈사막,회랑폐허,잊힌제단",,,,,,,,,,,,,,
회랑폐허,회랑 폐허,🏛️,지붕이 내려앉은 끝없는 돌기둥 회랑.,,"무너진성문,침묵의광장",,,,,,,,,,,,,,
침묵의광장,침묵의 광장,🗿,소리마저 잦아드는 텅 빈 옛 광장.,,"회랑폐허,무너진탑",,,,,,,,,,,,,,
무너진탑,무너진 탑,🗼,꼭대기가 꺾인 채 하늘을 찌르는 첨탑.,,침묵의광장,Y,,,,,,,,,,,,,
돌너덜길,돌너덜 길,🪨,굴러떨어진 돌무더기를 헤치고 오르는 비탈.,,"모래언덕길,산기슭",,,,,,,,,,,,Y,,
