업적ID	분류	이름	설명	조건타입	조건값	보상칭호	보상명성	배지	공개
fish_rank_r2	생활-낚시	희귀한 입질	R2 이상 물고기를 처음 낚았다.	희귀도낚시		희귀 입질	0	🐠	TRUE
fish_rank_r3	생활-낚시	깊은 곳의 신호	R3 이상 물고기를 처음 낚았다.	희귀도낚시		깊은 물 낚시꾼	0	🐠	TRUE
fish_rank_r4	생활-낚시	전설의 입질	R4 이상 물고기를 처음 낚았다.	희귀도낚시		전설을 낚은 자	1	🐠	TRUE
fish_rank_r5	생활-낚시	바다의 선택	R5 물고기를 처음 낚았다.	희귀도낚시		바다에게 선택받은	2	🐠	
fish_weight_10	생활-낚시	묵직한 양동이	낚시꾼 가방 중량 10을 채웠다.	낚시가방중량	10	양동이	0	🧺	TRUE
fish_bag_20	생활-낚시	큰 낚시꾼 가방	낚시꾼 가방 최대 중량 20을 달성했다.	낚시가방최대중량	20	큰 양동이	0	🎒	TRUE
fish_bag_30	생활-낚시	인간 낚싯배	낚시꾼 가방 최대 중량 30을 달성했다.	낚시가방최대중량	30	인간 낚싯배	0	🎒	TRUE
fish_rod_good	생활-낚시	좋은 낚싯대	좋은 낚싯대를 구매했다.	생활장비보유		숙련 낚싯꾼	0	🎣	TRUE
fish_rod_master	생활-낚시	고급 낚싯대	고급 낚싯대를 구매했다.	생활장비보유		낚시 장인	0	🎣	TRUE
fish_same_5	생활-낚시	또 너냐	같은 물고기를 10마리 낚았다.	동일낚시획득	10	또 너냐	0	🐟	TRUE
fish_same_20	생활-낚시	그 생선 전문	같은 물고기를 50마리 낚았다.	동일낚시획득	50	한 우물 낚시꾼	1	🐟	TRUE
fish_area_3	생활-낚시	물가 순례	서로 다른 낚시 지역 3곳에서 낚시에 성공했다.	낚시지역성공수	3	물가 순례자	0	🌊	TRUE
fish_area_7	생활-낚시	강과 호수의 친구	서로 다른 낚시 지역 7곳에서 낚시에 성공했다.	낚시지역성공수	7	강과 호수의 친구	0	🌊	TRUE
gather_first	생활-채집	첫 채집	채집에 처음 성공했다.	채집성공횟수	1	새싹 채집가	0	🌱	TRUE
gather_10	생활-채집	약초꾼 입문	채집에 10회 성공했다.	채집성공횟수	10	약초꾼 입문자	0	🌱	TRUE
gather_50	생활-채집	풀잎 감각	채집에 50회 성공했다.	채집성공횟수	50	풀잎 감각	0	🌱	TRUE
gather_100	생활-채집	숲의 손길	채집에 100회 성공했다.	채집성공횟수	100	숲의 손길	1	🌱	TRUE
gather_300	생활-채집	대지의 수확자	채집에 1000회 성공했다.	채집성공횟수	1000	대지의 수확자	1	🌱	TRUE
gather_level_2	생활-채집	채집 Lv.2	채집 레벨 5를 달성했다.	채집레벨	5	잎사귀 입문자	0	🍃	TRUE
gather_level_5	생활-채집	채집 Lv.5	채집 레벨 15를 달성했다.	채집레벨	15	숲을 듣는 자	0	🍃	TRUE
gather_level_10	생활-채집	채집 Lv.10	채집 레벨 30을 달성했다.	채집레벨	30	푸른 손끝	1	🍃	TRUE
gather_level_20	생활-채집	채집 Lv.20	채집 레벨 60을 달성했다.	채집레벨	60	대지와 대화하는 자	3	🍃	TRUE
gather_collection_5	생활-채집	식물 관찰자	채집 도감 5종을 등록했다.	채집도감등록수	5	식물 관찰자	0	📗	TRUE
gather_collection_10	생활-채집	작은 식물학자	채집 도감 10종을 등록했다.	채집도감등록수	10	작은 식물학자	0	📗	TRUE
gather_collection_25	생활-채집	초록 도감가	채집 도감 25종을 등록했다.	채집도감등록수	25	초록 도감가	0	📗	TRUE
gather_collection_50p	생활-채집	반쯤 채운 숲	채집 도감 50%를 채웠다.	채집도감완성률	50	반쯤 채운 숲	1	📗	TRUE
gather_collection_100p	생활-채집	채집 도감 완성	채집 도감을 완성했다.	채집도감완성률	100	식물의 기록자	3	📗	TRUE
gather_rank_r2	생활-채집	낯선 향기	R2 이상 채집물을 처음 얻었다.	희귀도채집		낯선 향기의 주인	0	🌺	TRUE
gather_rank_r3	생활-채집	숲의 선물	R3 이상 채집물을 처음 얻었다.	희귀도채집		숲의 선물	0	🌺	TRUE
gather_rank_r4	생활-채집	희귀한 뿌리	R4 이상 채집물을 처음 얻었다.	희귀도채집		희귀한 뿌리를 든 자	1	🌺	TRUE
gather_rank_r5	생활-채집	대지의 비밀	R5 채집물을 처음 얻었다.	희귀도채집		대지의 비밀	2	🌺	
gather_weight_10	생활-채집	가득 찬 약초주머니	약초꾼 가방 중량 10을 채웠다.	채집가방중량	10	주머니	0	🧺	TRUE
gather_bag_20	생활-채집	큰 약초꾼 가방	약초꾼 가방 최대 중량 20을 달성했다.	채집가방최대중량	20	큰 주머니	0	🎒	TRUE
gather_bag_30	생활-채집	심마니	약초꾼 가방 최대 중량 30을 달성했다.	채집가방최대중량	30	심마니	0	🎒	TRUE
gather_tool_good	생활-채집	숙련 채집 도구	숙련 채집 도구를 구매했다.	생활장비보유		숙련 채집가	0	🧤	TRUE
gather_tool_master	생활-채집	장인의 채집 도구	장인의 채집 도구를 구매했다.	생활장비보유		장인의 손끝	0	🧤	TRUE
gather_same_5	생활-채집	오늘도 이 풀	같은 채집물을 10개 얻었다.	동일채집획득	10	늘 먹던 맛	0	🌿	TRUE
gather_same_20	생활-채집	그 풀 전문	같은 채집물을 50개 얻었다.	동일채집획득	50	한 우물 채집가	1	🌿	TRUE
gather_area_3	생활-채집	숲길 순례	서로 다른 채집 지역 3곳에서 채집에 성공했다.	채집지역성공수	3	숲길 순례자	0	🌲	TRUE
gather_area_7	생활-채집	초록길 여행자	서로 다른 채집 지역 7곳에서 채집에 성공했다.	채집지역성공수	7	초록길 여행자	0	🌲	TRUE
cook_first	요리	첫 요리	처음으로 요리를 완성했다.	요리성공횟수	1	초보 요리사	0	🍳	TRUE
cook_10	요리	주방 단골	요리를 10회 완성했다.	요리성공횟수	10	주방 단골	0	🍳	TRUE
cook_50	요리	냄비 앞의 인내	요리를 50회 완성했다.	요리성공횟수	50	냄비 앞의 인내	0	🍳	TRUE
cook_100	요리	식탁의 마술사	요리를 100회 완성했다.	요리성공횟수	100	식탁의 마술사	0	🍳	TRUE
cook_recipe_5	요리	레시피 노트	요리 레시피 5종을 등록했다.	요리레시피수	5	레시피 수집가	0	📖	TRUE
cook_recipe_15	요리	작은 요리책	요리 레시피 15종을 등록했다.	요리레시피수	15	작은 요리책	0	📖	TRUE
cook_recipe_30	요리	아리안로드 식탁	요리 레시피 30종을 등록했다.	요리레시피수	30	아리안로드 주방장	0	📖	TRUE
cook_rare	요리	근사한 한 접시	희귀 요리를 처음 완성했다.	요리등급		근사한 한 접시	0	🍽️	TRUE
cook_masterpiece	요리	오늘의 걸작	걸작 요리를 처음 완성했다.	요리등급		오늘의 걸작	0	🍽️	
cook_fish_dish	요리	물가의 식사	물고기를 재료로 한 요리를 완성했다.	요리태그		물가의 요리사	0	🐟	TRUE
cook_herb_dish	요리	향긋한 한 접시	채집물을 재료로 한 요리를 완성했다.	요리태그		향긋한 요리사	0	🌿	TRUE
house_buy_first	하우징	내 집 마련	집을 처음 구매했다.	집구매	1	집주인	0	🏠	TRUE
house_small	하우징	작은 보금자리	작은 집을 구매했다.	집등급		작은 보금자리	0	🏡	TRUE
house_standard	하우징	안락한 집	평범한 집을 구매했다.	집등급		안락한 집주인	0	🏡	TRUE
house_luxury	하우징	호화로운 저택	호화로운 집을 구매했다.	집등급		저택의 주인	0	🏰	TRUE
home_rest_first	하우징	집에서 쉰 날	집에서 처음 휴식했다.	집휴식횟수	1	집이 최고	0	🛏️	TRUE
home_rest_10	하우징	익숙한 침대	집에서 10회 휴식했다.	집휴식횟수	10	익숙한 침대	0	🛏️	TRUE
home_rest_50	하우징	귀가 본능	집에서 50회 휴식했다.	집휴식횟수	50	귀가 본능	0	🛏️	TRUE
furniture_first	하우징	첫 가구	가구를 처음 배치했다.	가구배치수	1	첫 장식	0	🪑	TRUE
display_badge_first	하우징	추억 전시	업적 아이템 또는 배지를 집에 처음 전시했다.	전시횟수	1	추억 전시자	0	🏅	TRUE
guestbook_first	하우징	방문객의 흔적	집 방문록에 첫 글을 받았다.	방문록수	1	환대하는 집주인	0	✉️	TRUE
guestbook_10	하우징	사람이 모이는 집	집 방문록에 글 10개를 받았다.	방문록수	10	사람이 모이는 집	0	✉️	TRUE
storage_first	창고	첫 보관	창고에 아이템을 처음 보관했다.	창고보관횟수	1	창고 이용자	0	📦	TRUE
storage_30	창고	차곡차곡	창고 중량 30을 채웠다.	창고사용중량	30	차곡차곡	0	📦	TRUE
storage_expand_first	창고	넓어진 창고	창고를 처음 확장했다.	창고확장횟수	1	창고 관리자	0	📦	TRUE
storage_expand_100	창고	널찍한 보관소	창고 최대 중량 100을 달성했다.	창고최대중량	100	보관소의 주인	1	📦	TRUE
guild_join	길드	길드 등록	모험가 길드에 처음 등록했다.	길드등록	1	등록 모험가	0	🛡️	TRUE
guild_rank_c	길드	길드 등급 C	모험가 랭크 C를 달성했다.	모험가랭크		C랭크 모험가	0	🔰	TRUE
guild_rank_b	길드	길드 등급 B	모험가 랭크 B를 달성했다.	모험가랭크		B랭크 모험가	0	🔷	TRUE
guild_rank_a	길드	길드 등급 A	모험가 랭크 A를 달성했다.	모험가랭크		A랭크 모험가	1	🔶	TRUE
guild_rank_s	길드	길드 등급 S	모험가 랭크 S를 달성했다.	모험가랭크		S랭크 모험가	3	👑	TRUE
quest_accept_first	길드	첫 의뢰	의뢰를 처음 수락했다.	의뢰수락횟수	1	첫 의뢰자	0	📌	TRUE
quest_clear_first	길드	첫 의뢰 완료	의뢰를 처음 완료했다.	의뢰완료횟수	1	의뢰 완료자	0	📌	TRUE
quest_clear_10	길드	길드의 단골	의뢰를 10회 완료했다.	의뢰완료횟수	10	길드의 단골	0	📌	TRUE
quest_clear_30	길드	믿고 맡기는 사람	의뢰를 30회 완료했다.	의뢰완료횟수	30	믿고 맡기는 사람	0	📌	TRUE
fame_10	길드	이름이 알려지다	명성 10을 달성했다.	명성	10	이름이 알려진 자	0	⭐	TRUE
fame_25	길드	마을의 화제	명성 25를 달성했다.	명성	25	마을의 화제	0	⭐	TRUE
fame_60	길드	널리 알려진 이름	명성 60을 달성했다.	명성	60	널리 알려진 이름	0	⭐	TRUE
fame_100	길드	아리안로드의 이름	명성 100을 달성했다.	명성	100	아리안로드의 이름	0	⭐	TRUE
profile_badge_first	프로필	첫 대표 배지	대표 배지를 처음 장착했다.	대표배지장착	1	배지를 단 사람	0	🏅	TRUE
profile_badge_3	프로필	세 개의 표식	대표 배지 3개를 장착했다.	대표배지장착	3	세 개의 표식	0	🏅	TRUE
profile_title_first	프로필	첫 칭호	칭호를 처음 장착했다.	칭호장착	1	칭호를 단 사람	0	🏷️	TRUE
profile_title_10	프로필	칭호 수집가	칭호 10개를 획득했다.	칭호보유수	10	칭호 수집가	0	🏷️	TRUE
profile_title_30	프로필	이름이 많은 자	칭호 30개를 획득했다.	칭호보유수	30	이름이 많은 자	0	🏷️	TRUE
profile_title_70	프로필	백 가지 이름을 향해	칭호 70개를 획득했다.	칭호보유수	70	많은 이름의 주인	0	🏷️	TRUE
achievement_10	업적	열 개의 발자국	업적 10개를 달성했다.	업적달성수	10	열 개의 발자국	0	🏆	TRUE
achievement_25	업적	작은 기록장	업적 25개를 달성했다.	업적달성수	25	작은 기록장	0	🏆	TRUE
achievement_50	업적	쌓이는 이야기	업적 50개를 달성했다.	업적달성수	50	쌓이는 이야기	0	🏆	TRUE
achievement_100	업적	백 개의 증표	업적 100개를 달성했다.	업적달성수	100	백 개의 증표	0	🏆	TRUE
achievement_150	업적	기록의 산	업적 150개를 달성했다.	업적달성수	150	기록의 산	0	🏆	TRUE
achievement_200	업적	살아있는 연대기	업적 200개를 달성했다.	업적달성수	200	살아있는 연대기	1	🏆	TRUE
item_first	수집	첫 전리품	아이템을 처음 획득했다.	아이템획득수	1	첫 전리품	0	🎁	TRUE
item_50	수집	가방이 묵직하다	아이템을 누적 50개 획득했다.	아이템획득수	50	묵직한 가방	0	🎁	TRUE
item_200	수집	모으는 손	아이템을 누적 200개 획득했다.	아이템획득수	200	모으는 손	0	🎁	TRUE
item_1000	수집	수집벽	아이템을 누적 1000개 획득했다.	아이템획득수	1000	수집벽	0	🎁	TRUE
gold_1000	수집	첫 천 골드	소지금 1000G를 달성했다.	골드보유	1000	첫 천 골드	0	💰	TRUE
gold_5000	수집	주머니가 두둑하다	소지금 5000G를 달성했다.	골드보유	5000	두둑한 주머니	0	💰	TRUE
gold_20000	수집	작은 부자	소지금 20000G를 달성했다.	골드보유	20000	작은 부자	0	💰	TRUE
gold_100000	수집	금화의 무게	소지금 100000G를 달성했다.	골드보유	100000	금화의 무게	1	💰	
trade_first	수집	첫 거래	거래 장터에서 첫 거래를 완료했다.	거래완료횟수	1	첫 거래자	0	🤝	TRUE
trade_10	수집	장터 단골	거래 장터에서 거래를 10회 완료했다.	거래완료횟수	10	장터 단골	0	🤝	TRUE
post_first	커뮤니티	첫 게시글	게시글을 처음 작성했다.	게시글작성수	1	첫 글쓴이	0	✒️	TRUE
post_10	커뮤니티	갤러리 주민	게시글을 10개 작성했다.	게시글작성수	10	갤러리 주민	0	✒️	TRUE
comment_first	커뮤니티	첫 댓글	댓글을 처음 작성했다.	댓글작성수	1	첫 댓글러	0	💬	TRUE
comment_50	커뮤니티	말 많은 모험가	댓글을 50개 작성했다.	댓글작성수	50	말 많은 모험가	0	💬	TRUE
recommend_first	커뮤니티	첫 추천	추천을 처음 눌렀다.	추천횟수	1	첫 추천자	0	👍	TRUE
recommend_100	커뮤니티	인정이 많은 손	추천을 100회 눌렀다.	추천횟수	100	인정이 많은 손	0	👍	TRUE
log_save_first	커뮤니티	기록 보관	월드 채팅 로그를 처음 저장했다.	로그저장횟수	1	기록 보관자	0	📄	TRUE
world_chat_10	커뮤니티	모닥불 잡담	월드 채팅을 10회 작성했다.	월드채팅횟수	10	모닥불 잡담꾼	0	💭	TRUE
world_chat_100	커뮤니티	광장의 목소리	월드 채팅을 100회 작성했다.	월드채팅횟수	100	광장의 목소리	0	💭	TRUE
special_full_bag	특수	이제 못 들어요	가방 중량 초과로 행동이 막혔다.	중량초과	1	이제 못 들어요	0	🎒	
special_midnight	특수	자정의 모험가	한국 시간 자정 이후 10분 안에 행동했다.	시간대행동		자정의 모험가	0	🌙	
special_morning	특수	아침 이슬	한국 시간 오전 6시 이전에 채집에 성공했다.	시간대채집		아침 이슬	0	🌅	
special_first_comment_deleted	특수	못 본 걸로 하자	삭제된 댓글에 처음 답글을 달았다.	삭제댓글답글	1	못 본 걸로 하자	0	🫥	
train_100	길드	단련 100회	길드 뒷마당에서 단련을 100회 했다.	단련횟수	100	단련 초심자	0	🏋️	TRUE
train_1000	길드	단련 1000회	길드 뒷마당에서 단련을 1000회 했다.	단련횟수	1000	강철 같은 의지	1	🏋️	
train_10000	길드	단련 10000회	길드 뒷마당에서 단련을 10000회 했다.	단련횟수	10000	단련의 화신	2	🏋️	
